,Unnamed: 0,Star_name,Distance,Mass,Radius
0,0,SDSS J000013.54+255418.6 [de],46.1,48,0.99
1,1,2MASS J00040288-6410358,192.0,19,1.63
2,2,LHS 102BC,,,
3,3,2MASS J00242463-0158201,37.7,79,1.09
4,4,2MASS J00250365+4759191AB,143.0,,
5,5,2MASS J00274197+0503417,236.0,31,1.44
6,6,2MASS J00275592+2219328,46.9,,
7,7,2MASSW J0030300-145033,87.2,54,0.98
8,8,2MASS J00332386-1521309 [de],131.0,29,1.43
9,9,2MASS J00345157+0523050,31.0,42,0.94
10,10,2MASS 0036+1821,28.6,42,0.94
11,11,2MASSW J0045214+163445,57.0,23,1.62
12,12,WISEP J004701.06+680352.1 [fr],40.0,12,1.3
13,13,2MASS J00501994-3322402 [de],34.0,40,0.94
14,14,2MASS J00034227-2822410,,,
15,15,2MASS J00584253-0651239 [de],96.0,29,1.43
16,16,CFBDS J005910.90–011401.3,30.0,23,
17,17,2MASSI J0103320+193536,70.0,52,0.98
18,18,SDSSp J010752.33+004156.1 [de],51.0,52,0.98
19,19,2MASSI J0117474-340325 [de],163.0,20,1.62
20,20,2MASS J01415823-4633574 [de],130.0,20,1.61
21,21,SDSS J015141.69+124429.6,70.0,47,0.97
22,22,DENIS-P J020529.0−115925A,65.0,,
23,23,DENIS-P J020529.0−115925B,65.0,,
24,24,DENIS-P J020529.0−115925C,65.0,,
25,25,SDSS J020742.48+000056.2 [de],111.0,47,0.97
26,26,2MASS J02103857-3015313,101.0,15,1.53
27,27,2MASS J02340093-6442068,155.0,20,1.62
28,28,2MASS J02411151-0326587 [de],152.0,27,1.41
29,29,2MASS J02431371−2453298,35.0,33,0.99
30,30,LP 771-21,53.0,78,1.08
31,31,2MASS J02511327+0047364,,,
32,32,Teegarden's star,12.578,80,1.27
33,33,2MASS J02535980+3206373,184.0,65,1.9
34,34,WISE J0254+0223,24.0,65,1.9
35,35,DEN 0255-4700,16.2,80,0.97
36,36,2MASS J03185403-3421292 [de],45.0,49,0.97
37,37,2MASS J03205965+1854233,47.0,88,1.15
38,38,2MASS J03231002-4631237,192.0,23,1.66
39,39,SDSS J032553.17+042540.1,59.0,45,0.95
40,40,2MASS J03264225-2102057 [de],80.0,18,1.3
41,41,2MASS J03284265+2302051 [de],98.0,54,0.98
42,42,2MASS J03341218-4953322,27.0,73,1.04
43,43,LP 944-20,20.9,73,1.43
44,44,2MASP J0345432+254023,88.0,74,1.05
45,45,Teide 1,380.0,55,3.78
46,46,2MASS J03510004-0052452,48.0,102,1.27
47,47,2MASS J03552337+1133437,29.8,20,1.32
48,48,DENIS-P J035726.9-441730 [de],130.0,,
49,49,2MASS J04151954−0935066,18.6,30,0.95
50,50,SDSSp J042348.57-041403.5 [de],50.0,,
51,51,2MASS J04285096-2253227 [de],85.0,80,1.09
52,52,2MASS J04351612-1606574,34.0,100,1.26
53,53,2MASS J04362788-4114465,142.0,39,1.97
54,54,2MASS J04390101-2353083 [de],29.5,48,0.97
55,55,2MASS J04414489+2301513,470.0,19,
56,56,2MASS J04433764+0002040,82.0,22,1.78
57,57,2MASS J04455387-3048204 [de],42.0,64,1.0
58,58,2MASS J04510093-3402150 [de],69.0,1.04,72.0
59,59,2MASS J05002100+0330501 [de],44.0,64,1.0
60,60,2MASS J05012406-0010452 [de],64.0,21,1.38
61,61,2MASS J05160945-0445499 [de],73.0,47,0.97
62,62,2MASS J0523−1403,40.0,68,1.01
63,63,2MASS 0532+8246,81.0,83,
64,64,SDSS J053951.99-005902.0,41.62,61,1.01
65,65,2MASS J05591914-1404488 [de],34.0,,
66,66,LSR 0602+3910 [de],34.6,28,1.41
67,67,2MASS J06085283-2753583,102.0,38,1.51
68,68,WISEP J061135.13-041024.0A,69.0,65,
69,69,WISEP J061135.13-041024.0B,69.0,53,
